square_id,value_mean,value_median,record_count,value_sum,avg_values_count
1,0.30281029466029374,0.2250996866914876,802,242.85385631755557,3.5141463414634146
2,0.30713893141030224,0.2251322149339966,802,246.3254229910624,3.5141463414634146
3,0.3205394466420401,0.25043836855537027,780,250.02076838079128,3.4917355371900825
4,0.29027232029356936,0.22147579862292477,802,232.79840087544264,3.5141463414634146
5,0.2668462656759582,0.2012100195733816,811,216.4123214632021,3.514506769825919
6,0.3205394466420401,0.25043836855537027,780,250.02076838079128,3.4917355371900825
7,0.3205394466420401,0.25043836855537027,780,250.02076838079128,3.4917355371900825
8,0.3205394466420401,0.25043836855537027,780,250.02076838079128,3.4917355371900825
9,0.3205394466420401,0.25043836855537027,780,250.02076838079128,3.4917355371900825
10,0.23337266446690566,0.1713029308065714,792,184.8311502577893,3.4923234390992834
11,0.15101212737191871,0.12627773548636,731,110.38986510887258,3.516577540106952
12,0.09320295955393065,0.0756470107556154,713,66.45371016195256,3.6107178968655207
13,0.04313024813951676,0.0320782215607694,786,33.900375037660176,3.706181202370872
14,0.07179981393368631,0.0542829958449904,681,48.89567328884038,3.6525871172122493
15,0.08719479915643791,0.0726962882864559,563,49.090671925074545,3.651063829787234
16,0.08253322131120408,0.0641998589767347,701,57.85578813915406,3.6089676746611055
17,0.10776047396976915,0.0823499580026919,623,67.13477528316618,3.670378619153675
18,0.10776572245444095,0.082379415713958,623,67.13804508911672,3.670378619153675
19,0.10826070971990737,0.0851575874831974,623,67.44642215550229,3.670378619153675
20,0.10847425883000142,0.0863561559119235,623,67.57946325109089,3.670378619153675
21,0.10690854457154514,0.0827972122257051,636,67.99383434750271,3.6384615384615384
22,0.10997620796208966,0.0885458139940671,625,68.73512997630604,3.6328392246294183
23,0.10254488306298132,0.0746709387524553,708,72.60177720859078,3.5080971659919027
24,0.14203991765115628,0.100412832594636,708,100.56426169701865,3.5080971659919027
25,0.15083635893888894,0.1106822674925839,672,101.36203320693338,3.562962962962963
26,0.15083635893888894,0.1106822674925839,672,101.36203320693338,3.562962962962963
27,0.13914175105633073,0.09885169694390064,764,106.30429780703668,3.563302752293578
28,0.13989364423331577,0.1022859235115086,803,112.33459631935257,3.576020851433536
29,0.14414961987767497,0.1184054394310649,765,110.27445920642135,3.4874623871614845
30,0.14095977740230864,0.1176687017372065,765,107.83422971276612,3.4874623871614845
31,0.14824695933031737,0.1275950028531315,724,107.33079855514978,3.539053905390539
