service_type,value_mean,value_median,record_count,value_sum,avg_values_count
39,2.31370515731809,0.8778911291543225,3790419,8769911.988696476,4.9999486101713435
0,1.3654812934973717,0.4755779069468923,3308082,4517124.088355373,1.852127614635727
33,0.49177847667878716,0.143228209601653,119492,58763.593735301634,4.1533315112513565
41,0.3421182377978638,0.1044492981808178,108031,36959.37534754103,3.7760638201185155
44,0.3494017339742889,0.1210267991065263,98957,34575.74738889371,3.539136124542187
49,0.4161246167132788,0.1255378261762798,63989,26627.398098866,4.375764678010272
20,0.4086878911495179,0.1391969437765249,62946,25725.267996297556,3.7397503709229905
1,0.39564430341145423,0.12576659407069765,60104,23779.805212242045,3.529618852415492
63,0.3499768214344943,0.1422218297949356,55045,19264.47413586174,2.8901639105836496
40,0.24512155971631203,0.083911525347838,55002,13482.176027516594,3.552247703921729
86,0.3566627435041658,0.1152201081901412,50537,18024.66506847003,3.437987621814366
48,0.2667788732349993,0.0889727774245488,44138,11775.0859068464,3.333179723502304
7,0.6794425934014617,0.2254597672604126,37567,25524.619906312713,3.248745754529938
94,0.2742291188880929,0.1013106302450725,24681,6768.248883277021,3.3945298624854114
420,0.3019414400014677,0.094291421036626,23858,7203.718875555017,3.0353547178646685
32,0.3787019563511951,0.11105104644497835,22442,8498.82930443352,4.304650667639992
34,0.30385439008374854,0.1126587365553395,22255,6762.279451313823,3.9334339302968933
43,0.43076551795281565,0.1442972424610654,20510,8835.000773212249,4.044142630805353
380,0.22135332767873597,0.086530899897305,20299,4493.251198550662,3.8003700804213225
381,0.22987697983376845,0.0827148768985387,18584,4272.033793230753,1.8270058991712208
46,0.5384671762181319,0.1990376148695225,15217,8193.855020511313,4.89580882424827
31,0.3306366958987565,0.1016760274211768,12822,4239.423714813855,3.8272186561451034
359,0.14979483088604467,0.0622960338579901,11836,1772.9716183672247,2.743763892319091
421,0.2491741171940943,0.0721714768919954,11566,2881.9478394668945,3.2596109944297322
355,0.24615046850985067,0.0987166169528009,10958,2697.3168339309436,3.2494251781472685
212,0.18326076222691548,0.0758661379627184,10651,1951.9103784788767,3.4880821545479255
53,0.17385085744792628,0.0578555912611961,10531,1830.8233797841117,1.9648078529657478
216,0.18978809875447178,0.0647973705328675,9224,1750.6054229112476,3.231550835611008
880,0.3274024556700406,0.17508574090743734,9038,2959.063394345827,3.8990741737539025
90,0.48414038963536066,0.1584424240131315,8858,4288.515571390025,3.927976939628923
385,0.27288816890601814,0.1073038772884081,8767,2392.410576799061,2.608744686388479
